,productSaleAddons,productSaleCoreIngredients,id,timestamp,vendStatus,productPriceDefault,price,discountValue,costPrice,vatRate,totalPaid,netAmount,vatAmount,voucherCode,errorMessage,itemTagId,isRefunded,product.id,product.name,product.externalId,device.id,device.name,promotion.id,promotion.name,results.locationName,results.id,results.location.venue.id,promotion
0,[],[],5278767,2023-07-23T10:27:24.588274,Success,6.20,6.20,0.00,3.10,0.00,6.20,6.20,0.00,,,,False,14427,Falafel Vitality Mezze Salad,5060531854645,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4104009,1245,
1,[],[],5278768,2023-07-23T10:27:24.588274,Success,2.25,2.25,0.00,0.94,0.20,2.25,1.88,0.38,,,,False,13383,The Gut Stuff Cocoa & Hazelnut Bar,5060771270014,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4104009,1245,
2,[],[],5275368,2023-07-22T20:00:26.049603,Payment Declined,2.95,2.95,0.00,1.64,0.20,2.95,2.46,0.49,,,,False,14473,Lo Bros - Raspberry & Lemon Kombucha,5060593390020,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4101363,1245,
3,[],[],5275364,2023-07-22T20:00:03.774868,Success,4.50,4.50,0.00,2.49,0.00,4.50,4.50,0.00,,,,False,13370,Chicken & Bacon Caesar Wrap,5060531851415,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4101359,1245,
4,[],[],5275108,2023-07-22T19:08:06.658216,Success,2.90,2.90,0.00,1.39,0.20,2.90,2.42,0.48,,,,False,14357,Grind - Iced Black Coffee,5060574950045,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4101155,1245,
5,[],[],5275081,2023-07-22T19:01:33.638043,Success,1.50,1.50,0.00,0.42,0.20,1.50,1.25,0.25,,,,False,13395,Diet Coke,5449000053879,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4101133,1245,
6,[],[],5274704,2023-07-22T18:00:57.047860,Success,1.25,1.25,0.00,0.49,0.20,1.25,1.04,0.21,,,,False,13386,Love Corn Pouch - Sea Salt,5060490400020,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4100833,1245,
7,[],[],5274705,2023-07-22T18:00:57.047860,Success,1.25,1.25,0.00,0.49,0.20,1.25,1.04,0.21,,,,False,13386,Love Corn Pouch - Sea Salt,5060490400020,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4100833,1245,
8,[],[],5273856,2023-07-22T16:12:44.668975,Success,1.50,1.50,0.00,0.48,0.20,1.50,1.25,0.25,,,,False,13396,Cano Water - Still,0731275727476,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4100162,1245,
9,[],[],5272943,2023-07-22T14:44:14.374366,Success,1.50,1.50,0.00,0.48,0.20,1.50,1.25,0.25,,,,False,13396,Cano Water - Still,0731275727476,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4099387,1245,
10,[],[],5272944,2023-07-22T14:44:14.374366,Success,1.50,1.50,0.00,0.48,0.20,1.50,1.25,0.25,,,,False,13396,Cano Water - Still,0731275727476,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4099387,1245,
11,[],[],5272945,2023-07-22T14:44:14.374366,Success,1.50,1.50,0.00,0.48,0.20,1.50,1.25,0.25,,,,False,13396,Cano Water - Still,0731275727476,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4099387,1245,
12,[],[],5272260,2023-07-22T13:39:07.285293,Success,2.25,2.25,0.00,1.13,0.20,2.25,1.88,0.38,,,,False,13406,Soul Fruit Crispy Dried Keo Mango,0655498519352,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4098791,1245,
13,[],[],5272261,2023-07-22T13:39:07.285293,Success,1.50,1.50,0.00,0.42,0.20,1.50,1.25,0.25,,,,False,13395,Diet Coke,5449000053879,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4098791,1245,
14,[],[],5272156,2023-07-22T13:28:25.999685,Success,2.75,2.75,0.00,1.20,0.20,2.75,2.29,0.46,,,,False,13389,Charitea - Black,42282303,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4098696,1245,
15,[],[],5272087,2023-07-22T13:23:07.661997,Success,3.50,3.50,0.00,1.80,0.00,3.50,3.50,0.00,,,,False,14428,Egg Mayonaise Sandwich,5060531850449,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4098636,1245,
16,[],[],5272007,2023-07-22T13:18:26.768051,Success,1.80,1.80,0.00,0.65,0.20,1.80,1.50,0.30,,,,False,13430,Kallo Yogurt Rice Cakes,5013665115779,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4098563,1245,
17,[],[],5271668,2023-07-22T12:54:40.070351,Success,1.50,1.50,0.00,0.48,0.20,1.50,1.25,0.25,,,,False,13396,Cano Water - Still,0731275727476,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4098250,1245,
18,[],[],5271440,2023-07-22T12:37:19.808721,Success,4.50,4.50,0.00,2.63,0.00,4.50,4.50,0.00,,,,False,14426,Chicken Chipotle Wrap,5060531851439,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4098046,1245,
19,[],[],5271030,2023-07-22T12:04:13.876946,Success,1.50,1.50,0.00,0.48,0.20,1.50,1.25,0.25,,,,False,13396,Cano Water - Still,0731275727476,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4097687,1245,
20,[],[],5270291,2023-07-22T11:01:59.418417,Success,6.20,6.20,0.00,3.10,0.00,6.20,6.20,0.00,,,,False,14427,Falafel Vitality Mezze Salad,5060531854645,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4097027,1245,
21,[],[],5269479,2023-07-22T09:56:25.195885,Success,1.50,1.50,0.00,0.48,0.20,1.50,1.25,0.25,,,,False,13396,Cano Water - Still,0731275727476,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4096311,1245,
22,[],[],5269454,2023-07-22T09:54:57.123082,Success,2.95,2.95,0.00,1.64,0.20,2.95,2.46,0.49,,,,False,14473,Lo Bros - Raspberry & Lemon Kombucha,5060593390020,1664,Martee Micromarket 001,1066.0,Banner 20% off,Express Way - Greenwich (Reception),4096288,1245,
